Company ID,DSRI,GMI,AQI,SGI,DEPI,SGAI,ACCR,LEVI,Manipulator,M-SCORE,C-MANIPULATOR
202,0.920335912,1.051835219,-0.61848359,0.993846056,1.109101408,1.039077755,-0.057819518,0.989936964,No,-3.446700278,0
97,0.634834349,0.943519574,0.505356225,1.124520878,1.07091038,0.972691368,-0.127636503,0.758962795,No,-3.440077779,0
44,1.037167561,0.971852212,-2.38934922,1.407902514,0.880728534,1.275393776,0.027179339,1.109276139,No,-3.435761037,0
155,0.368205387,0.738238273,1.091880903,0.828073265,1.114001932,1.747435487,-0.013988374,0.763774451,No,-3.419354528,0
100,0.943784534,0.635794387,1.159258593,1.332095304,0.964678317,1.629802781,-0.201894296,0.923248496,No,-3.395403051,0
132,0.779256014,1.154503256,-1.614242708,1.12196666,1.066594162,0.708822837,0.025558888,1.031413111,No,-3.381807791,0
216,1.002026282,0.998118075,-0.917604693,1.088961549,1.030526792,1.076770363,-0.001078838,1.080009346,No,-3.215392932,0
139,0.765570195,1.096726201,1.241635756,0.907919881,0.994892618,1.261719156,-0.116462308,0.984939408,No,-3.214723977,0
45,1.130094321,0.828779027,1.244671917,0.686150048,1.089117752,4.296371321,-0.012305725,0.885743584,No,-3.208768566,0
149,0.831573983,0.974348032,0.83762035,1.004743544,0.956644592,1.068642809,-0.121234816,0.654184872,No,-3.180834904,0
215,0.787953779,1,0.826378049,1.135308184,0.935586281,1.788801623,-0.087162062,1.012059976,No,-3.179387248,0
93,1.116236044,0.997521167,-0.872474477,1.085707329,1.082164327,0.976880263,-0.009875833,1.154088715,No,-3.137570955,0
194,0.941364342,1,0.781527596,1.153018851,0.956150637,1.5801388,-0.123278683,0.880885108,No,-3.12841178,0
209,0.982392207,0.860833325,1.115917725,1.197100841,0.994682439,1.098229905,-0.163745681,0.968797384,No,-3.120504312,0
127,0.855767829,1,-0.675485958,1.200047744,0.695611038,0.865350186,0.010087284,1.051538561,No,-3.092647007,0
220,0.958663935,0.916984979,0.999651761,1.121523878,1.096173867,0.927538505,-0.145247106,0.935351388,No,-3.088550241,0
134,0.633686974,1.014715499,0.941677301,1.285869745,0.80863123,1.629004983,-0.082950785,0.959235659,No,-3.082797807,0
62,0.59232486,0.905356452,0.843799787,1.145202653,1.103761801,1.140803865,-0.072030383,0.663105153,No,-3.077768246,0
191,0.981859963,0.943004741,1.040109153,0.997923284,0.967502805,1.090719936,-0.11961283,0.940060906,No,-3.071840018,0
197,0.92599599,0.938605858,-0.287741703,1.165417548,1.001907865,1.204049891,-0.011602914,1.038280202,No,-3.054879829,0
60,1.270093286,1.318260244,0.970412491,0.932162646,1.062368016,1.089627225,-0.172354922,1.199444676,No,-3.015847691,0
204,0.608629933,1.359260675,0.675693529,0.988885206,1.146159927,0.246393435,-0.077218958,0.957863379,No,-2.992405144,0
189,0.462539146,1.077440337,1.01658854,1.210664289,0.82834551,0.498662907,-0.069561186,0.956747232,No,-2.983804592,0
96,0.644759632,1.128048694,0.684873434,1.240215427,0.857022225,0.829554264,-0.076283047,0.933847196,No,-2.974672587,0
105,1.396387942,0.869283188,0.848091044,0.874752212,1.09349721,2.713097079,-0.042687386,1.325647452,No,-2.94755533,0
135,1.012862131,1.085506549,0.560647174,1.065677905,1.019738181,0.940729327,-0.076134785,1.129354398,No,-2.928002333,0
108,0.541876282,0.994946377,1.204295988,1.239047339,1.078844307,0.853511283,-0.074608849,1.00425188,No,-2.924598343,0
129,0.964278658,0.913124274,1.151254023,1.022449999,1.008983753,0.880997363,-0.102524242,0.946768814,No,-2.918404739,0
90,1.074412158,0.829705115,0.231528664,1.00438119,0.977800206,1.101313019,-0.025953721,0.851997892,No,-2.901030499,0
141,0.942246189,0.992684328,0.786024255,1.154535034,1.316855547,1.051144852,-0.016062241,2.11342323,No,-2.89720028,0
218,0.937402672,0.973292346,1.131130701,1.08357706,1.050010616,0.959512405,-0.095278924,0.976331846,No,-2.849519154,0
72,0.583144912,0.870007553,1.084901726,1.156519744,1.119283035,0.929190246,-0.042253521,0.71328484,No,-2.836278325,0
174,0.813373235,1.360195166,1.033573407,1.215468057,1.047323024,0.994543077,-0.12601109,0.951835932,No,-2.823227914,0
63,1.509018319,1.079883012,0.663974629,0.995005407,1.00296602,1.010129934,-0.139701957,1.155623679,No,-2.815689999,0
